GFP,Rab1a,Rab1b,Rab2,Rab3,Rab4,Rab5a,Rab5c,Rab6,Rab7,Rab8a,Rab8b,Rab9,Rab10,Rab11,Rab12,Rab13,Rab14,Rab15,Rab17,Rab18,Rab19,Rab20,Rab21,Rab22,Rab23,Rab24,Rab25,Rab26,Rab27,Rab28,Rab30,Rab33a,Rab33b,Rab35,Rab37,Rab38,Rab39,Rab40,Rab43
0.870964894,1.554481575,1.262516309,1.343145883,2.138140199,4.071900431,0.951840507,0.783014792,1.186579616,1.059836585,1.358307395,1.03593859,0.966172512,1.243239454,2.155740782,1.928605934,1.254020076,1.486024829,1.047566623,0.968014093,1.000344736,1.203187513,1.291124624,1.493356774,0.978748369,1.016943213,1.066793352,2.363291416,1.136534837,1.860867411,1.014393494,1.970447172,0.973903631,1.299446216,1.187194314,1.163402497,1.018105097,0.483160376,0.912249176,1.146846206
0.913910282,1.61789731,1.439900709,1.320850067,1.638418163,2.319756474,0.908941151,1.262230564,1.193119292,1.327848898,1.241791481,1.179107566,1.044961661,1.285960407,1.993076234,1.792768316,1.340090464,2.332494845,1.075119507,1.030055814,0.955152877,1.23812782,1.160891853,1.261333199,1.014819264,1.026170628,1.431916017,1.44700069,1.687320578,1.522991898,1.15305976,1.599498027,1.431609981,1.227809258,1.249794958,1.313118207,1.007272633,0.512914496,1.026155016,1.09442717
0.944092087,2.220444848,1.375563768,1.450657031,1.747964242,1.235947197,1.037306306,1.35181865,0.84896052,1.178636289,1.28636668,1.114710815,0.985521799,1.161500285,2.597128061,1.53760823,1.250877249,1.347363896,1.270391626,0.933990259,0.79730643,1.317692794,1.07563067,1.469943824,1.071022397,1.114602254,1.040776406,1.440317587,1.553260201,1.067084208,1.379984049,1.889429164,1.413752939,1.182481552,1.259747079,1.108521429,1.340365734,0.536848482,0.987518446,1.380351187
1.015334912,2.491938001,1.415457675,1.726943824,1.626284141,2.562579144,1.02348397,1.155889248,0.896143124,1.131615312,1.201256944,1.193767556,1.280381368,1.260476288,1.057704411,1.549404157,1.053215726,2.818436533,1.26344141,1.057496169,1.087735236,1.414353906,0.944035824,1.252497015,1.084544656,1.075269334,1.343861485,1.27777208,1.456593365,1.121614999,1.312488544,3.045007646,1.454510959,1.221350313,1.070003911,1.085368575,1.208739656,0.58717654,1.106231,1.208810627
0.998915632,2.569384042,2.302328385,1.298598932,1.948859421,2.077434415,0.972595354,2.058737192,1.106320675,0.987600236,1.052377751,1.234597818,1.033281492,1.082345622,0.926488391,2.100134481,1.196696542,2.059382194,1.521551964,1.035770447,0.905333539,1.52610874,1.049805316,1.207071867,1.154686607,1.115991225,1.670076243,1.186417657,1.935711205,1.049495025,1.140568993,2.522299854,1.348769132,1.224121852,1.090170564,1.320166177,1.482848435,0.405192228,0.844153622,1.273753333
0.981609657,1.559484013,2.105669086,1.217160764,2.368110414,2.576813618,1.036350921,1.313930165,1.507708869,0.899072398,1.58702189,1.108341378,1.281907618,0.973986652,1.683632847,2.140062819,1.103843109,2.410316353,1.376760568,1.242007761,0.958490284,1.055116233,1.22657997,1.107810597,1.128866619,1.124069681,1.643069235,3.131256863,2.238212332,1.261398978,1.141634631,1.826695165,2.307298926,1.446351743,2.224269803,0.904047119,1.152978304,0.635916634,0.846183211,1.515750103
0.945758376,1.509480224,2.034324009,1.209493552,2.670745538,,1.017520804,1.47163443,1.797018241,1.009490882,1.789505825,1.116637543,0.946097998,1.062916759,1.187346305,1.537520217,1.116437379,2.733626058,2.381354159,1.17228509,0.941227503,1.085555439,1.246730332,1.347172517,1.055548693,1.09224642,1.68720179,2.386950319,1.824633197,1.334655709,1.41981635,2.847598275,1.760390398,1.442322493,2.257833243,1.233380395,2.111514562,2.452985557,1.010984607,1.464005534
0.810544637,2.126876356,1.323950039,1.533084866,1.283224753,,1.315234166,,1.245709155,1.076210974,1.28454125,1.971314875,0.987866502,1.630495813,1.300722285,1.57221766,1.092821149,1.138670754,1.45942919,1.333259058,0.8800622,1.142492454,1.661130782,1.246674265,1.063472262,1.037847254,1.373802972,2.450011106,2.541368113,1.304350302,1.214752404,3.350280939,2.304771932,3.371133683,1.896201614,1.131607551,3.873614272,2.101152791,1.150842641,1.367101041
0.825070172,1.51163359,1.610706835,0.817509198,1.950768897,,0.826708448,,1.137595175,1.200439806,1.29128232,1.502847263,0.853451624,2.599430029,1.64405227,2.480169819,1.082805372,2.03599736,1.946286841,1.097662459,1.547891316,1.043942163,1.094628174,1.41158036,1.067346139,1.108868289,1.20569265,1.632285528,2.298492013,1.386115729,1.317415338,2.095007586,1.599206817,2.605051494,1.462827672,1.411776379,1.851176601,1.473675931,0.981658619,1.220740643
0.864389978,1.819403867,2.208303919,1.009207253,3.081333053,,1.597883358,,1.06721961,1.268454098,1.213822427,1.492384114,1.484385331,1.983811044,1.743494381,3.736346886,1.043295026,1.794436435,1.211583527,1.22537956,1.515113483,1.56173182,0.980887094,1.299192728,1.318371946,1.15624165,1.880682751,2.106189404,2.315567379,1.007666217,1.459836009,1.795798456,1.317186936,1.769622901,1.422702421,1.392867535,1.2256277,1.769255601,0.864241006,2.172854711
