GFP,Rab1a,Rab1b,Rab2a,Rab3a,Rab4a,Rab5a,Rab5c,Rab6a,Rab7a,Rab8a,Rab8b,Rab9a,Rab10,Rab11a,Rab12,Rab13,Rab14,Rab15,Rab17,Rab18,Rab19b,Rab20,Rab21,Rab22,Rab23,Rab24,Rab25,Rab26,Rab27,Rab28,Rab30,Rab33a,Rab33b,Rab35,Rab37,Rab38,Rab39,Rab40,Rab43
,,,1.881324052,1.669899668,1.439243208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1.063657096,1.572099997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2.223706996,1.619608628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1.680427508,1.186778594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1.375080918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1.547322646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1.377183999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1.344835554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1.856671065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1.191958724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1.462541684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
